layer,unit,summary
layer3,76,sports vehicles
layer3,76,brighter areas in objects
layer4,527,circular objects and birds
layer4,527,rounded objects
layer4,527,birds and grass
layer4,1171,faces of people wearing hats
layer4,1171,people
layer4,1171,faces of different people
layer2,341,"a group of bottles, a firetruck"
layer2,341,objects with patterns
layer2,341,the lipsticks and other containers are lined up and are in layers
layer2,440,"base of a monument, space inbetween zebra stripes"
layer2,440,pale areas in between dark lines
layer2,440,stripes on different things
layer3,130,"signs, words and rulers"
layer3,130,rulers and routers
layer3,130,similar patterns
layer3,803,animals with things on their faces
layer3,803,dog muzzles
layer3,803,masks for dogs and people
layer4,524,"animals, toilet paper and helmets"
layer4,524,white objects
layer4,524,neck braces
layer4,709,"animals with whiskers, metal objects and cardboard"
layer4,709,"animals, boxes and chains"
layer4,709,brown animals
layer4,1715,"sign, a dog in the forest, a bottle of perfume, a dog in the grass"
layer4,1715,the sides of objects
layer4,1715,rounded edges in pictures
layer1,205,left of a man on stage
layer1,205,"purple, red and blue fluorescent objects"
layer1,205,pink in them
layer2,165,red and white objects
layer2,165,a line of color in them
layer2,165,"red and white colored areas on towels, fish, and paper"
layer4,184,animals and things with sticks
layer4,184,items with a separation
layer4,184,"nature, animal, person"
layer3,915,the background
layer3,915,shaggy dogs
layer3,915,part of the plain side background
layer4,1576,"building, butterfly on blades of grass, insects"
layer4,1576,"buildings, plants and animals"
layer4,1576,green grass
layer4,1596,"a dog walking along the grass, a green shirt a man is wearing, a cat is drinking from a dish"
layer4,1596,animals
layer4,1596,animals that have fur and feathers on them
layer2,505,"people pose for a group photo, a person with a neck collar, people at market, dogs outside, a guitar pick in strings"
layer2,505,white and pale spots
layer2,505,small light colored objects in an image
layer3,978,dog mouths
layer3,978,dog tongues
layer3,978,dog mouths
layer3,965,red objects
layer3,965,beaks of birds that are red
layer3,965,red in them
layer4,811,irregular coiling or curving shapes
layer4,811,coiled objects and animals
layer4,811,spiraled objects
layer4,1434,"animals, stages, bridges and metal work"
layer4,1434,red or brown objects
layer4,1434,amber creatures and objects
layer4,1517,"bottles, cans and animals"
layer4,1517,bottles and objects shaped like them
layer4,1517,"the regions have long, thick items"
layer3,58,squashes
layer3,58,weird designs in them
layer3,58,text or light colors at the top
layer1,250,pale areas of text and objects
layer1,250,sharks
layer1,250,living organisms
layer4,540,"tis is sand, ocean and similarly colored objects"
layer4,540,the beach
layer4,540,the sides of items
layer3,934,animals and yellow objects
layer3,934,dog fur
layer3,934,pictures of animal
layer4,1530,"guard, dancers in a crowd"
layer4,1530,"people, animals and bowls"
layer4,1530,two items that are connected
layer4,938,bodies of animals
layer4,938,animals and orange items
layer4,938,brown dogs
layer2,24,white areas surrounding text and patterns
layer2,24,sharks
layer2,24,patterns
layer2,187,yellow objects
layer2,187,yellow areas in pictures
layer2,187,yellow objects
layer4,392,animals and flowers
layer4,392,the ones at the bottom like legs
layer4,392,stationary standing creatures
layer4,1153,animals
layer4,1153,birds
layer4,1153,arms or wings
layer4,936,"dog, fruit, space on the left side of a dog, roof next to a donkey"
layer4,936,bricks and red foods
layer4,936,red objects
layer4,1802,"dogs playing, a statue on thereof, a horse"
layer4,1802,"dark-colored, four-legged creature"
layer4,1802,items with straight features
layer3,444,"circular objects, buttons, and text"
layer3,444,small buttons on devices
layer3,444,similar patterns
layer3,505,rectangular objects with a background
layer3,505,curved corners
layer3,505,rounded edges in pictures
layer4,1224,"barrels, pants and pots"
layer4,1224,buckets and rounded edges
layer4,1224,red buckets
layer4,1161,words
layer4,1161,lines of text on white surfaces
layer4,1161,corners and edges
layer4,1652,"candy in a basket, a bug on a log, a motorcycle, a parachute, birds in the sky"
layer4,1652,"animals, bubbles, vehicles and sticks"
layer4,1652,multiple items that are similar
layer4,1905,"chairs on a porch, left side of a sign, a oil rig, a girl wearing a skirt"
layer4,1905,"feathers, chains and grass"
layer4,1905,items with angles
conv1,14,nothing literally nothing
conv1,14,a toilet papered car
conv1,14,grassy areas and fish
layer3,453,squares and white backgrounds
layer3,453,fencing
layer3,453,box shapes in them
layer3,522,metal rods
layer3,522,"sky, animal, insect, knife, swing"
layer3,522,rounded edges in pictures
layer4,335,switches and doors
layer4,335,white objects around the house
layer4,335,white pictures
layer4,789,white objects in the sky
layer4,789,"birds, fences and yellow objects"
layer4,789,surfaces with blue and grey hues
layer4,1653,"a dog, a fox, a armadillo, a beetle, an elephant"
layer4,1653,"animals, clothes and sunsets"
layer4,1653,textured area
layer3,39,areas of photo next to animals
layer3,39,ragged edges or gradients of color
layer3,39,patterns
layer4,381,barrel shaped items
layer4,381,hollow round objects
layer4,381,large  tube shaped  objects
layer4,413,vehicles and animals
layer4,413,vehicles and textured objects
layer4,413,vehicles
layer4,735,bricks and water in the background
layer4,735,textured areas
layer4,735,brown dogs
layer3,263,"a pot to pour liquid from, a birds beak, a guy holding a barrel, a oflooking for somethig, a guy hitting a gong, a fox"
layer3,263,the color tan
layer3,263,"animal, bird, person"
layer2,385,"two cranes pose by a tree trunk, a strawberry"
layer2,385,dots outlining a object
layer2,385,dogs and birds
layer3,794,walls or the sky
layer3,794,food
layer3,794,"sky, nature, interior walls, table"
layer4,463,animals and curved objects
layer4,463,green grass
layer4,463,"sky, plant, animal, nature, bail of hay"
layer4,642,blue jeans
layer4,642,blue jeans and objects
layer4,642,objects with blue hues
layer4,1650,animal left and right side of a sky
layer4,1650,"the sky, walls or water"
layer4,1650,the sides of objects
layer2,286,"a keyboard, a radio in the desk a vespa"
layer2,286,small holes that are different colors
layer2,286,"tower, animal, water, shark, sink"
layer3,404,the color red
layer3,404,red articles of clothing
layer3,404,orange areas in picture
layer3,60,the top of objects
layer3,60,food
layer3,60,spots above items
layer3,702,shiny objects and the sky
layer3,702,blue skies
layer3,702,regions that are on the sides of objects
layer4,776,animals and small insects
layer4,776,animals and mics
layer4,776,textured surfaces
layer4,1583,"a shirt someone is wearing, a mountain, a dog walking down the sidewalk, a side of ahand, a person swimming in the water"
layer4,1583,brown dogs
layer4,1583,living things
layer4,1527,people holding objects
layer4,1527,animals and circular objects
layer4,1527,curved objects
layer1,14,"dogs, a pair of birds walking on a beach"
layer1,14,the outline of spiky looking items
layer1,14,"animal, flowers"
layer1,109,"shark in the water, a group of fish, a whale in the water, a dog in a cage"
layer1,109,sharks
layer1,109,lighter areas
layer4,153,sticks and other long objects
layer4,153,wheel barrows
layer4,153,things that have elongated bodies
layer3,839,bowties
layer3,839,bow ties
layer3,839,bowtie looking things
layer4,539,animals and chains
layer4,539,older chains
layer4,539,long straight object
layer4,979,"a tape player, a bandaid, a side of table, a shovel, a tablet, a side of a  hanger a bird is on, a necklace"
layer4,979,metal shovels
layer4,979,things with metal
layer2,388,"flowers on a cup, dog's leash, beams for a jungle gym, text on display"
layer2,388,blue items
layer2,388,the colors white and blue
layer2,40,"a musician on stage, a drum set, a weight on a desk, a person sailing, a person swimming"
layer2,40,pink objects
layer2,40,purple areas
layer4,50,checkerboard designs
layer4,50,clothing that has red accents
layer4,50,the water and other random images
layer3,696,things with holes
layer3,696,perforated objects
layer3,696,"website, fencing, electronic, instrument, crib, floor, ball"
layer4,1288,"architectural structures, tails and fins, and apertures"
layer4,1288,"animals, bridges and buildings"
layer4,1288,arched bridges
layer4,1108,"a pacifier or a bottle for a kid, a plate of coffe, a tool someone is using"
layer4,1108,babies and dogs with things by their mouths
layer4,1108,items that are connected
layer3,369,the images all include straight lines of various objects
layer3,369,shows strap or straight lines
layer3,369,legs on animals and similar things
layer3,103,brown dogs
layer3,103,eyes and fur of several different animals
layer3,103,parts of fur
layer4,472,faces of people and animals
layer4,472,animals and circular objects
layer4,472,"fabric, fur or hair"
layer4,1158,"towers, produce, and pens"
layer4,1158,hair dryers
layer4,1158,vertical patterns
layer4,1386,babies and white objects
layer4,1386,animals and people
layer4,1386,white fabric
layer4,1900,textured areas
layer4,1900,"fabrics on people, and green or yellowish foods"
layer4,1900,rounded items
layer3,295,single color stone backgrounds
layer3,295,a person playing guitar
layer3,295,spaces in between object
layer3,996,legs of animals and bugs
layer3,996,multiple shades of color
layer3,996,legs of animals
layer3,827,metal tubes
layer3,827,rounded objects that are metal
layer3,827,the region shows the bottoms of items
layer4,649,"balls, papers, pics and cross words"
layer4,649,rectangular objects
layer4,649,rounded edges in pictures
layer4,1352,objects in front of grass
layer4,1352,poles
layer4,1352,bottles
layer4,1662,"a object on the beach, a cookie a person is holding, a shirt man is wearing, a ball a man is holding"
layer4,1662,circular objects
layer4,1662,a rounded item
layer1,214,a close up of a baseball
layer1,214,lines across the bottom
layer1,214,water as well as greenery
layer3,463,light reflections
layer3,463,small red objects
layer3,463,fuzzy white areas
layer3,834,"things with handles, clasps, and necks"
layer3,834,handles of objects
layer3,834,"fence, animal, guitar, roof, vegetable"
layer4,450,"legs, wheels and boats"
layer4,450,blue objects
layer4,450,items with straight sides in them
layer4,1383,"text on a monument, dog in the field, pig in a field,barn in the field"
layer4,1383,"buildings, trucks and animals"
layer4,1383,"animal, sign, nature"
layer4,1784,"fish, fountain, plate, man's face"
layer4,1784,"people, food and the ground"
layer4,1784,items that are curved
conv1,57,"flower or a mushroom ,paint of a car, text and graphics"
conv1,57,red objects
conv1,57,the color red
layer3,490,orange objects
layer3,490,orange objects
layer3,490,light orange objects
layer4,136,animals and cups
layer4,136,ears of dogs
layer4,136,"animal, food"
layer4,1213,"sticks, pens, and other long skinny objects"
layer4,1213,long rods
layer4,1213,long metal stick
layer4,1120,animals and bridges
layer4,1120,bridges and textured objects
layer4,1120,areas with straight features
layer4,1887,"insects, dogs, athletes"
layer4,1887,animals
layer4,1887,living things
layer3,191,no noticeable pattern
layer3,191,the ground of the bottom of a object
layer3,191,wrists and shrubbery
layer1,227,red color and black and white borders
layer1,227,right and left side of a cat
layer1,227,curly items like the letter i
layer4,70,things with a wavy design
layer4,70,wavy and circular objects
layer4,70,objects with stripes
layer3,844,noses and joints
layer3,844,eyes and noses
layer3,844,body parts
layer4,819,"animals, cords and handles"
layer4,819,"long, thin objects"
layer4,819,circular objects
layer4,1963,"buses, buildings and shelves"
layer4,1963,older buildings
layer4,1963,"bus, building, castle"
layer1,194,"sharks in an ocean, an eagle on a branch, a dog from his bowl, a monument"
layer1,194,parts of white areas
layer1,194,edges of objects
layer3,370,the space above pictures of animals
layer3,370,"canines pose for a hot, right of monkey, apples and bread"
layer3,370,monkeys and foxes
layer4,285,shiny objects
layer4,285,light brown animals
layer4,285,people and things
layer4,962,"a man playing a flute, a telephone, a man playing trumpet, a bench on the grass"
layer4,962,"thse are musical instruments, wheels and lizards"
layer4,962,musical instruments
layer4,1341,animals and round objects
layer4,1341,flags
layer4,1341,shaped like a flag
layer2,346,"a women kissing a cat, a bottle of fanta on a table, white dogs for a group photo"
layer2,346,solid white sections of random images
layer2,346,"the animals, bottles, and food are facing forward"
layer3,562,"buildings, boats and shelves"
layer3,562,bookshelves and walls of buildings
layer3,562,"boat, bookshelf, books, sign, building"
layer3,434,black objects on top of items
layer3,434,animal heads and appendages
layer3,434,contrast areas
layer4,519,animals and wheels
layer4,519,"animals, carts and circles"
layer4,519,pictures of animal
layer3,943,striped and spotted objects
layer3,943,snake
layer3,943,similar patterns
layer4,1917,"animals, vehicles, furniture and phones"
layer4,1917,"vehicles, people, animals, and other items"
layer4,1917,items with straight lines
layer4,1664,"a house on the beach, a skirt, a barn, monument, a animal"
layer4,1664,items with straight features
layer4,1664,red areas in picture
conv1,60,spots on a side of a cheetah
conv1,60,areas with lines through them
conv1,60,they show light colors
layer1,33,spots of the color white
layer1,33,a dog holding a bone
layer1,33,dots outlining a object
layer3,1012,patterned objects and fur
layer3,1012,"intricate patterns, text and animal fur"
layer3,1012,similar patterns
layer3,766,lights and lens flares
layer3,766,ceiling lights
layer3,766,lights
layer4,764,"a bird in the water, a handle of a hammer, a chain on a lock, a drain on the pavement, old fountain, a boat on the water, remote, a beaver on the grass"
layer4,764,"animals, chains, pallets and remotes"
layer4,764,similar color patterns
layer4,2035,"a dog, a phone booth, fruit"
layer4,2035,"animals, electronics and fruit"
layer4,2035,items that are connected
layer4,1883,"a boy with a shovel, a water tower in a sunset, a hammer, a dog"
layer4,1883,two items that are connected
layer4,1883,edges of objects
layer2,382,spots of the color white
layer2,382,"kid's face as the takes a drink from a water bottle, a football player tries to tackle another"
layer2,382,dogs and faces
layer2,223,the edge of objects
layer2,223,the edges of objects
layer2,223,"person, sky, water tower, computer"
layer4,36,dogs and camoflauged items
layer4,36,dogs
layer4,36,faces
layer4,451,animals and metal structures
layer4,451,brown animals
layer4,451,rounded edges in pictures
layer4,508,"animals, fabric and smooth surfaces"
layer4,508,brown dogs
layer4,508,items with angles
layer4,1515,"the bodies and some faces of humans and some animals, including foxes, a dog, and a duck"
layer4,1515,people
layer4,1515,living things
layer1,21,a hand bag
layer1,21,fluorescent blue and purple objects
layer1,21,"logo, person, screen, food"
layer2,207,spots of the color white and repeating parallel lines
layer2,207,metal objects
layer2,207,brighter areas in objects
layer3,487,rooftops of buildings
layer3,487,things that look like umbrellas
layer3,487,rounded edges in pictures
layer4,658,grass in the bottom of a photo
layer4,658,grass or felt
layer4,658,the color green
layer4,588,people playing string instruments
layer4,588,"ladders, fences, guitars and animal noses"
layer4,588,guitars
layer4,1667,"left side of a court building, lizard, body of water"
layer4,1667,textured area
layer4,1667,"sign, structure, animal"
layer4,171,poles ands stripes
layer4,171,"protruding, rectangular objects"
layer4,171,rounded edges in pictures
layer4,277,neck braces
layer4,277,this region includes items that have curved areas
layer4,277,chins of things
layer4,920,"animals, trees, bricks and poles"
layer4,920,textured surfaces
layer4,920,cliffs
layer4,1087,animals
layer4,1087,green leaves and plants
layer4,1087,"animals, both on the ground and in the sky"
layer3,273,glasses and beige colors
layer3,273,lenses of a guy wearing glasses
layer3,273,black sunglasses
layer2,478,areas on dials and signs
layer2,478,lettering
layer2,478,letters and written text
layer1,0,"a cup of coffee, a car's wheel"
layer1,0,"cups with different liquids, different mesh materials, a baseball player, dog and a bird and the attention in each photo is drawn to the areas that is reflecting the most light"
layer1,0,out of focus
layer1,219,"several parts of fish, water, white coat on dog, dog faces, female nurse face, white i-shirt and rotary on telephone"
layer1,219,dots on points and eyes
layer1,219,dogs and sharks
layer3,135,legs and cylinders
layer3,135,necks of objects and people
layer3,135,are the slim part of of dumbbell  shaped items
layer3,684,mouths of animals
layer3,684,curved edges
layer3,684,noses of land animals
layer4,529,animals and carts
layer4,529,textured areas
layer4,529,body parts of living creatures
layer4,740,snakes and other reptiles
layer4,740,"a dog's snout, a harp, whale's pain, dogs in a photo,  a snake"
layer4,740,"animals, windows, bricks and harps"
layer4,1849,nearly vertical lines formed by light and dark areas
layer4,1849,"space a room in a mansion, field, trees"
layer4,1849,similar color patterns
layer3,193,"high points of a tower, a curtain in a theater"
layer3,193,arrows and pointed shapes
layer3,193,"person, sky, tower"
layer1,38,a drum full of tennis balls
layer1,38,words
layer1,38,written text
layer4,71,animals
layer4,71,seahorses and lizards
layer4,71,"long, thin items"
layer3,154,noses of different dogs
layer3,154,rounded snout-like area
layer3,154,"fur, feathers, numbers, letters or natural surfaces"
layer4,820,backgrounds
layer4,820,triangular shaped lines in them
layer4,820,rounded edges in pictures
layer4,521,animals
layer4,521,dark objects
layer4,521,bugs
layer3,279,face of a dishwashing machine
layer3,279,locks and doorways
layer3,279,the bottom parts of areas with writing on them
layer2,395,a statue outside
layer2,395,curved areas of animals and clothes
layer2,395,aquatic life
layer4,98,hands and benches
layer4,98,human hands
layer4,98,items with curves
layer3,621,sloped objects like animal backs and stairs
layer3,621,backs of dogs
layer3,621,"car, window, stairs, quilt, building, cage, animal"
layer4,720,"balls, animals and circular objects"
layer4,720,ovals and round objects
layer4,720,hands of people
layer4,710,"ox,  a truck, dog"
layer4,710,"animals, trucks, and wooden objects"
layer4,710,items on other items
layer3,196,flower's on a clock
layer3,196,the color blue
layer3,196,the labels and logos are blue
layer2,432,points on a soccer ball
layer2,432,black objects
layer2,432,white and black shapes
layer3,137,the corners of rectangular objects
layer3,137,corners of different objects
layer3,137,"building, pan, stand, building, ship in a bottle, tile"
layer3,654,wheels and a bear nose
layer3,654,wheels of vehicles
layer3,654,car wheels
layer4,618,"electronics, scales and furniture"
layer4,618,various colors and patterns of different objects
layer4,618,similar color patterns
layer4,1705,"a sign of a hotel, a tractor, a keyboard, a dog walking in the snow"
layer4,1705,"animals, vehicles, bridges, keys and fabric"
layer4,1705,areas with multiple items that are similar
layer4,1853,"faces, cameras, masks and objects that resemble them"
layer4,1853,central objects
layer4,1853,pictures of animal
layer3,56,repeating dark lines
layer3,56,"the hoods and panels of cars, pillows, dog's ears, speakers on a a boombox, the top of a mailbox, and a dress"
layer3,56,places where people sit
layer4,427,black lines or squares that form a grid on a white background
layer4,427,"remotes, windows and signs"
layer4,427,contain items with straight lines
layer4,1510,"carpet, dress, sign"
layer4,1510,red objects
layer4,1510,the color red in them
layer3,360,the color black surrounded by a single color background
layer3,360,letter like items in them
layer3,360,letters and numbers and dots
layer3,1017,patches of skin or clothing
layer3,1017,faces
layer3,1017,orange areas in picture
layer3,687,spout or handle protrusions from a larger object
layer3,687,edges of teapots and mugs
layer3,687,rounded edges in pictures
layer4,610,"ships, birds and vases"
layer4,610,objects composed of lines
layer4,610,ships in the water
layer4,1101,"a man hitting a gong, a feather pen on a table, birds on a  branch"
layer4,1101,curved objects
layer4,1101,round objects
layer4,1765,"person doing acrobatics, mirror of a car, monkey on a tree, bird walking on the grass, satellite dish"
layer4,1765,animals and poles
layer4,1765,a ridged pattern
layer3,340,lamps and other shiny objects
layer3,340,lampshades and thimbles
layer3,340,bells and lamps
layer1,252,"sharks, or whales in the sea, a sea turtle, bottles of a bottle of wine, a owl on a tree branch, dogs in a pose for a picture"
layer1,252,"outlines of letters, sticks, animals and bottles"
layer1,252,sharks
layer4,246,animals and a guitar pick
layer4,246,dogs
layer4,246,living things
layer3,651,animals and things with dots
layer3,651,animals that have patterned fur
layer3,651,a ridged or chain pattern
layer4,904,"a bench someone is jumping over, a bin, a dog in a basket, a speaker at a podium two people speaking. furniture in a bedroom"
layer4,904,sticks or boards
layer4,904,wood
layer4,1453,these include  a long stick  like object
layer4,1453,items that are long and thin
layer4,1453,stick like objects
layer4,269,objects with strong curves
layer4,269,vehicles
layer4,269,items that are curved
layer4,311,wooden objects and animals
layer4,311,wooden objects
layer4,311,rounded edges in pictures
layer4,1579,"women's tank top, women and man at a beach, cake"
layer4,1579,"clothes, feathers and circular objects"
layer4,1579,"person, food, nature"
layer4,1658,round
layer4,1658,round objects
layer4,1658,circular features
layer2,144,yellow or orange regions
layer2,144,colorful striped objects
layer2,144,orange areas in picture
layer2,175,small circular spots
layer2,175,circular dots
layer2,175,similar patterns
layer1,148,a shark's tooth
layer1,148,black lettering on white backgrounds
layer1,148,"shark, logo, text"
layer3,245,"left side of a computer screen, space on a joystick, a women plays a harp, a toy in a cup"
layer3,245,these images all have rounded edges in common here
layer3,245,specific patterns
layer4,121,animals and trucks
layer4,121,seats of vehicles or peoples faces
layer4,121,wild and tamed animals and people and cars
layer4,452,birds and porcelain items
layer4,452,"round, smooth objects"
layer4,452,food
layer4,836,animals and poles
layer4,836,objects with sharp corners and appendages
layer4,836,rounded edges in pictures
layer4,1815,"trees in the background bridge, dog, person riding a unicycle, pavement"
layer4,1815,areas with straight lines
layer4,1815,things outside
layer3,205,nose of a dog
layer3,205,dog noses
layer3,205,animal
layer3,385,single colors and parallel lines
layer3,385,rounded objects
layer3,385,brighter areas in objects
layer2,242,strings and legs
layer2,242,thin lines in them
layer2,242,similar patterns
layer4,576,lights and reflections
layer4,576,human faces
layer4,576,rounded objects
layer4,1162,"dresses women are wearing, dogs posing for a photo, a lizard's torso"
layer4,1162,animals and bells
layer4,1162,formal dresses
layer4,1083,cylinder shapes with many lines
layer4,1083,"cylinders, people and buildings"
layer4,1083,neck braces
layer2,161,spots of green and yellow
layer2,161,the petals of the flowers are bright colors on both the real flowers and the maracas
layer2,161,brighter areas in objects
layer4,1981,animals and food
layer4,1981,brown buckets and strawberries
layer4,1981,"person, food, vehicle, nature"
layer2,72,white colored spots
layer2,72,african animals
layer2,72,backgrounds in pictures
layer4,1149,"animals, cookware and circular objects"
layer4,1149,rounded objects
layer4,1149,vehicles and shoes and instruments and other products
layer4,300,animals and furniture
layer4,300,objects with lines
layer4,300,show sides of objects
layer4,1129,animals and glass containers
layer4,1129,bottles and dogs
layer4,1129,look like bottles
layer4,1139,"to, tent"
layer4,1139,"buildings, vehicles and sails, and rocks"
layer4,1139,two items that are connected
layer2,140,spots of the color white and edges surrounded by the color blue
layer2,140,green and blue colored spots
layer2,140,brighter areas in objects
layer1,138,a roasters feathers
layer1,138,birds
layer1,138,"animal, food"
layer2,486,bright colors
layer2,486,contain a bit of red
layer2,486,red areas in picture
layer3,614,the left side of animals
layer3,614,white skin
layer3,614,the parts of the right side of objects
layer3,645,circular objects and tails
layer3,645,circular objects of many colors
layer3,645,slots on them like a spatula
layer4,1227,something someone is holding or wearing
layer4,1227,tan objects
layer4,1227,a speckled pattern in them
layer4,2004,"animals, clothes and things that look like mops"
layer4,2004,"grey, textured object"
layer4,2004,grey
layer3,71,"heads, eyes and other circles"
layer3,71,small red dots
layer3,71,red objects
layer3,21,car doors and circles
layer3,21,cars
layer3,21,a line in them
layer3,746,areas above a circle
layer3,746,hair and hats
layer3,746,yellow areas in pictures
layer4,421,people and animals
layer4,421,women's clothing
layer4,421,bodies
layer4,1804,"animal, green shirt"
layer4,1804,items on other items
layer4,1804,"animals, people"
layer4,1970,"dogs out on the snow, a cat on the grass, trash on a beach, the tail of a cheetah, bird on the ground"
layer4,1970,"animals, trash and random objects"
layer4,1970,brown birds
layer3,967,clouds
layer3,967,sunsets
layer3,967,the sky around different subjects
layer4,1591,"a frog, a dog, a spider, a bird"
layer4,1591,animals
layer4,1591,black spiders
layer4,1538,"cherries, a ladybug, pencils"
layer4,1538,two similar items
layer4,1538,similar color patterns
layer3,324,black spots surrounded by white
layer3,324,"rims of a car, text on a picture, text of package or sign, projector, space long kitchen utensils"
layer3,324,grilles and vehicles
layer3,1014,edges of different objects
layer3,1014,the snouts of dogs and the corner of several different items
layer3,1014,rounded edge objects or dog noses
layer4,197,"peaches, chins and handles"
layer4,197,woodwind instruments
layer4,197,mouth region of animals or humans
layer2,448,grass and foliage
layer2,448,outlines of a blurry background
layer2,448,nature
layer2,159,objects radiating from the center
layer2,159,round ceilings and greenery
layer2,159,bright areas
layer4,192,brown objects
layer4,192,red and amber objects
layer4,192,rounded surfaces
layer3,710,animals and cylinders
layer3,710,dogs
layer3,710,"several different types of long, cylindrical items and structures"
layer4,1247,"animals, balls and stripes"
layer4,1247,eggs
layer4,1247,similar color patterns
layer4,1111,"a star fish, hill, teddy bear, scarf, bird"
layer4,1111,checks and dogs
layer4,1111,items that are connected
layer2,375,high contrast colors
layer2,375,of the meeting of two colors
layer2,375,"wagon wheel, person, fruit, washer"
layer3,302,"a bird sits atop a ledge, nose of a  dog, cats play on a sofa, someone holds a fish, a chair to a table"
layer3,302,objects with stripes or dots
layer3,302,bird chests and dogs
layer3,140,animals outlines
layer3,140,birds
layer3,140,a brighter color
layer4,100,"fruit, balls, and bins"
layer4,100,edges of squares
layer4,100,"pencil sharper, drawer, vegetable, nature"
layer4,1010,"vehicles, animals, windows and screens"
layer4,1010,noses of people and animals
layer4,1010,"person, food, vehicle, nature"
layer4,1966,"baseball on the field, butterfly on blades of grass, fence with an animal"
layer4,1966,textured surfaces
layer4,1966,two items that are connected
layer2,479,spots of the color white and curvy lines
layer2,479,"a hot air balon, aquatic life, a lion, a golf ball"
layer2,479,textured areas
layer3,388,repeating curving lines
layer3,388,"clothing items, a women holding her dog, record of a hone, a bib"
layer3,388,coils and textured objects
layer3,819,areas around animals and circles
layer3,819,little lines in them
layer3,819,"black, white, and brown regions"
layer3,926,grey hued spots
layer3,926,vehicles
layer3,926,rounded edges in pictures
layer4,1437,"face of a bird, sink, cabinet, flower"
layer4,1437,objects with buttons
layer4,1437,"animals, people"
layer4,1388,red objects and insects
layer4,1388,"baskets, vehicles, leather and bugs"
layer4,1388,leather goods
layer3,292,"the left ear of a monkey, a kid in a swing set, a backpack, a bouquet of flowers, a food dish, a whicker basket, kids clothes"
layer3,292,the sides of rounded objects and clothes
layer3,292,hands and ears
layer2,132,"dots outlining words, cars and circular objects"
layer2,132,objects with red
layer2,132,the corners of items
layer3,823,letters and metal frames
layer3,823,truss designs
layer3,823,"bottle, logo, sign, tower"
layer4,1148,long stick like objects
layer4,1148,instruments
layer4,1148,areas or objects with straight lines
layer4,1348,objects forming multiple diagonal lines
layer4,1348,poles and nails
layer4,1348,skinny vertical lines
layer4,1564,"a barrel, corners around a plate, a screw driver"
layer4,1564,"barrels, circular objects and paint"
layer4,1564,cylindrical objects
conv1,40,my player bezel
conv1,40,computer screens and small lines
conv1,40,"zebra, person, logo, text"
layer2,222,small circular black objects
layer2,222,eyes of birds
layer2,222,a i like shape in them
layer4,532,objects with multiple lines and round areas
layer4,532,animals and cylinders
layer4,532,a screw design
layer4,1840,"man's forehead with a bandaid, a parkman symbol on a shirt. a bird in a tree"
layer4,1840,flowers and yellow objects
layer4,1840,bright yellow and pink colors adorn various objects and living organisms
layer1,83,dogs and bugs
layer1,83,light colored parts of an object
layer1,83,"animal, flower, insect"
layer3,22,"clocks, circles and fruits"
layer3,22,circular objects
layer3,22,clocks or look like clocks
layer3,779,"poles, sticks and bows"
layer3,779,violins
layer3,779,these things have a stick shape
layer4,1290,"book shelf ina  library, people laughing and celebrating, a desk near a bed, a headshot of a person, window of a building, a dog going through grass, part of a snake"
layer4,1290,"animals, shelves, pillows and water"
layer4,1290,brown dogs
layer4,1074,"space on the left side of a sign, dishwasher loading tray"
layer4,1074,shaggy dogs
layer4,1074,sides
layer2,302,spots of the color blue
layer2,302,"a plane flys in the sky, a bird on a tree branch"
layer2,302,blue skies
layer2,206,lines on a red background
layer2,206,red or orange color in them
layer2,206,red areas in picture
layer3,462,grass backgrounds
layer3,462,the edges of things next to hair or grass
layer3,462,edges of objects
layer3,953,bears and dog faces
layer3,953,dog eyes and cheeks
layer3,953,dogs faces
layer4,796,soccer balls and faces of animals
layer4,796,animals and balls
layer4,796,soccer balls
layer4,1808,"the tail of a lizard, a beach someone is waling on, shorts someone is wearing"
layer4,1808,things shaped like a stick
layer4,1808,"people, nature"
layer4,1709,"wheel shaped objects, and objects composed of lines"
layer4,1709,it contains metal work
layer4,1709,items with curved features
layer3,269,the noses of different breeds of dogs
layer3,269,the muzzle of a dog
layer3,269,noses and mouths of animals
layer3,233,dogs and computer monitors
layer3,233,gray or gold
layer3,233,these all seem to have straight flat edges in them
layer3,793,reflective surfaces and animal heads
layer3,793,vehicles
layer3,793,"sign, belt, vase, electronic, car"
layer3,576,"stripes, animals and a carafe"
layer3,576,dogs
layer3,576,"person, logo, candle, water tower"
layer4,1056,"a lizard, a dog in the grass, friends in a competition"
layer4,1056,"animals, towers and candles"
layer4,1056,towers and tails
layer4,1491,"a turtle swims in the water, a spider crawls down a log, a dog lays on the floor, a easter, a dog walks across the road, a hammer"
layer4,1491,"things sticking out,  like legs"
layer4,1491,lighter areas in pictures
layer3,337,"a person's face, two animals making love, a person performing on a instrument"
layer3,337,hands or necks
layer3,337,hands of people
layer3,48,noses of many dogs
layer3,48,"textured very different, yet they are all similar"
layer3,48,animals in pictures
layer3,826,pointing extremities
layer3,826,"cords, tails and beaks"
layer3,826,hassles and beaks
layer3,719,animals and household objects
layer3,719,conical structures
layer3,719,rounded edges in pictures
layer4,1123,"a bird on a tree branch, a dump truck, a lizard on the rocks, a dog in the park"
layer4,1123,animals
layer4,1123,"animals, as well as a garbage truck"
